?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;јдр;«нчн
448;200;448;0;0;0;0;0;0;4;100;;
448;200;449;200;448;200;0;448;0;4;100;;
449;EE18;44A;EE18;462;0;0;18;0;4;100;462;0
44A;AE16;44B;AE16;461;300;0;16;300;0;0;;
44B;0C00;44C;0C00;7FF;300;7FF;044B;300;0;0;7FF;300
44C;D726;726;D726;7FE;044D;7FE;D726;300;0;0;7FE;044D
726;AC01;727;AC01;7FF;300;7FE;1;300;0;0;;
727;F207;728;F207;727;F207;7FE;727;300;0;0;;
728;F006;729;F006;728;F006;7FE;728;300;0;0;;
729;7,00E+08;72A;7,00E+08;732;0B0C;7FE;8;300;8;1000;;
72A;F904;72B;F904;72A;F904;7FE;072A;300;8;1000;;
72B;4C01;72C;4C01;7FF;300;7FE;1;600;0;0;;
72C;4C01;72D;4C01;7FF;300;7FE;1;900;0;0;;
72D;6,00E+05;72E;6,00E+05;733;009C;7FE;5;864;1;1;;
72E;CE01;730;CE01;72E;730;7FE;1;864;1;1;;
730;EC01;731;EC01;7FF;864;7FE;1;864;1;1;7FF;864
731;0A00;44D;0A00;7FE;044D;7FF;731;864;1;1;;
44D;800;44E;800;7FF;864;0;044D;864;1;1;;
44E;700;44F;700;44E;700;0;044E;865;0;0;;
44F;6,00E+12;450;6,00E+12;462;0;0;12;865;1;1;;
450;EE11;451;EE11;462;865;0;11;865;1;1;462;865
451;AE0E;452;AE0E;460;200;0;000E;200;1;1;;
452;0C00;453;0C00;7FF;200;7FF;452;200;1;1;7FF;200
453;D726;726;D726;7FE;454;7FE;D726;200;1;1;7FE;454
726;AC01;727;AC01;7FF;200;7FE;1;200;1;1;;
727;F207;728;F207;727;F207;7FE;727;200;1;1;;
728;F006;729;F006;728;F006;7FE;728;200;1;1;;
729;7,00E+08;72A;7,00E+08;732;0B0C;7FE;8;200;8;1000;;
72A;F904;72B;F904;72A;F904;7FE;072A;200;8;1000;;
72B;4C01;72C;4C01;7FF;200;7FE;1;400;0;0;;
72C;4C01;72D;4C01;7FF;200;7FE;1;600;0;0;;
72D;6,00E+05;72E;6,00E+05;733;009C;7FE;5;564;1;1;;
72E;CE01;730;CE01;72E;730;7FE;1;564;1;1;;
730;EC01;731;EC01;7FF;564;7FE;1;564;1;1;7FF;564
731;0A00;454;0A00;7FE;454;7FF;731;564;1;1;;
454;800;455;800;7FF;564;0;454;564;1;1;;
455;4E0C;456;4E0C;462;865;0;000C;0DC9;0;0;;
456;EE0B;457;EE0B;462;0DC9;0;000B;0DC9;0;0;462;0DC9
457;AE07;458;AE07;45F;100;0;7;100;0;0;;
458;740;459;740;458;740;0;458;00FF;1;1;;
459;0C00;45A;0C00;7FF;00FF;7FF;459;00FF;1;1;7FF;00FF
45A;D726;726;D726;7FE;045B;7FE;D726;00FF;1;1;7FE;045B
726;AC01;727;AC01;7FF;00FF;7FE;1;00FF;1;1;;
727;F207;728;F207;727;F207;7FE;727;00FF;1;1;;
728;F006;729;F006;728;F006;7FE;728;00FF;1;1;;
729;7,00E+08;72A;7,00E+08;732;0B0C;7FE;8;00FF;8;1000;;
72A;F904;72B;F904;72A;F904;7FE;072A;00FF;8;1000;;
72B;4C01;72C;4C01;7FF;00FF;7FE;1;01FE;0;0;;
72C;4C01;72D;4C01;7FF;00FF;7FE;1;02FD;0;0;;
72D;6,00E+05;72E;6,00E+05;733;009C;7FE;5;261;1;1;;
72E;CE01;730;CE01;72E;730;7FE;1;261;1;1;;
730;EC01;731;EC01;7FF;261;7FE;1;261;1;1;7FF;261
731;0A00;45B;0A00;7FE;045B;7FF;731;261;1;1;;
45B;800;45C;800;7FF;261;0;045B;261;1;1;;
45C;6,00E+05;45D;6,00E+05;462;0DC9;0;5;F498;8;1000;;
45D;EE04;45E;EE04;462;F498;0;4;F498;8;1000;462;F498
45E;100;45F;100;45E;100;0;045E;F498;8;1000;;
