model,term,standardized,original_units
income,intercept,207235.95198529412,43412.47221571053
income,median_income,80104.3613775608,42079.412772822
income_location_age,intercept,207235.95198529502,-3765956.3787437924
income_location_age,median_income,72406.00473746327,38035.4091610311
income_location_age,longitude,-90155.12056591947,-44902.83375469047
income_location_age,latitude,-94291.49166044385,-44097.757210041564
income_location_age,housing_median_age,12085.393426707382,959.9428026404959
all_features,intercept,207235.95198529502,-3636067.5880879355
all_features,longitude,-87206.35796566078,-43434.16734960646
all_features,latitude,-92736.85101405249,-43370.69091205247
all_features,housing_median_age,14178.449793943344,1126.1942703675525
all_features,total_rooms,-14245.24270496228,-6.564337388135614
all_features,total_bedrooms,52778.293501769855,125.74271223776748
all_features,population,-49481.2350603805,-44.92868419926863
all_features,households,15867.353542615052,41.39455685906984
all_features,median_income,76326.9607555161,40095.11632191915
