Действие,Количество,Единица,Обоснование
Удаление полных дубликатов,3,строки,Идентичные записи повторно учитывают один объект
Исключение конфликтующих версий,4,строки,Без даты обновления нельзя выбрать достоверную версию
Удаление непротиворечивых повторов,1,строки,Сохранена наиболее полная запись
Замена аномалий: price,0,ячейки,Цена не положительна
Замена аномалий: total_area,0,ячейки,Общая площадь не положительна
Замена аномалий: min_to_metro,10,ячейки,Время до метро вне рабочего диапазона (0; 120] минут
Замена аномалий: ceiling_height,3,ячейки,Высота потолков вне рабочего диапазона (0; 10] метров
Замена аномалий: living_area,0,ячейки,Жилая площадь не положительна или больше общей
Отметка нетипичного этажа,1,строки,Значение сохранено до уточнения назначения помещения
Удаление строк без ключевых значений,23,строки,Цена и площадь необходимы для анализа стоимости
Заполнение округа,68,ячейки,Специальная метка не подменяет неизвестный округ существующим
Добавление price_per_m2,6952,ячейки,"Цена предложения / общая площадь, руб./м²"
Тип floor: float64 → Int64,1,столбец,Целые значения с поддержкой пропусков
Тип number_of_floors: float64 → Int64,1,столбец,Целые значения с поддержкой пропусков
Тип construction_year: float64 → Int64,1,столбец,Целые значения с поддержкой пропусков
Тип number_of_rooms: float64 → Int64,1,столбец,Целые значения с поддержкой пропусков
Тип is_new: float64 → boolean,1,столбец,Бинарный смысл; пропуски сохранены
Тип is_apartments: float64 → boolean,1,столбец,Бинарный смысл; пропуски сохранены
Тип region_of_moscow: object → category,1,столбец,Номинальная категория
