price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link,floor_needs_review,price_per_m2
31633073.0,24.0,ЮАО,64.2,32.4,11,16,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/293204033/,False,492726.99376947037
29293000.0,9.0,СВАО,78.1,,9,27,2022,True,False,,2,https://www.cian.ru/sale/flat/294033524/,False,375070.4225352113
30349669.0,5.0,ЮАО,72.4,33.6,3,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/300712697/,False,419194.32320441987
31845511.0,19.0,ЮАО,69.2,,2,12,2024,True,False,2.97,2,https://www.cian.ru/sale/flat/300228448/,False,460195.24566473986
38810000.0,27.0,ЗАО,66.9,24.8,9,14,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299262105/,False,580119.5814648729
85004500.0,8.0,ЦАО,104.3,,6,7,2016,True,True,3.25,2,https://www.cian.ru/sale/flat/263389572/,False,815000.0
82644000.0,3.0,ЦАО,85.2,,52,66,2020,True,True,3.9,2,https://www.cian.ru/sale/flat/296913134/,False,970000.0
34100453.0,20.0,ЮАО,66.0,29.9,8,46,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299093558/,False,516673.5303030303
27447668.0,5.0,ЮАО,65.55,34.4,26,26,2023,True,False,2.87,2,https://www.cian.ru/sale/flat/290283240/,False,418728.7261632342
21230289.0,5.0,ЗАО,59.3,29.3,23,23,2023,True,False,2.73,2,https://www.cian.ru/sale/flat/298525427/,False,358014.9915682968
32747909.0,5.0,ЗАО,61.15,,6,57,2024,True,False,2.9,2,https://www.cian.ru/sale/flat/272591263/,False,535534.0801308259
27800000.0,18.0,ЗАО,46.9,,32,41,2024,True,False,3.25,2,https://www.cian.ru/sale/flat/298664674/,False,592750.5330490405
29759589.0,25.0,ЮАО,64.2,32.9,7,16,2022,True,False,3.15,2,https://www.cian.ru/sale/flat/293203842/,False,463545.0
50480000.0,,ЗАО,70.3,25.2,12,14,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299262044/,False,718065.4338549075
370000000.0,1.0,ЦАО,128.7,,5,15,2015,False,True,,2,https://www.cian.ru/sale/flat/296102099/,False,2874902.874902875
146715789.0,10.0,ЦАО,121.2,,8,8,2019,True,False,3.3,2,https://www.cian.ru/sale/flat/284404561/,False,1210526.311881188
30115475.0,25.0,ЮАО,65.8,32.1,14,16,2022,True,False,3.15,2,https://www.cian.ru/sale/flat/293203827/,False,457681.990881459
28375022.0,5.0,ЮАО,69.7,,2,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/300783117/,False,407102.1807747489
30585500.0,11.0,ЮЗАО,67.0,,32,34,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300713408/,False,456500.0
41240000.0,,ЗАО,68.5,24.6,9,14,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299262053/,False,602043.795620438
15177043.0,4.0,ВАО,36.33,18.4,6,29,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/298055156/,False,417755.1059730251
40331596.0,27.0,ЮАО,71.2,43.8,15,15,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/298084417/,False,566455.0
21743843.0,17.0,ЮВАО,52.4,,10,29,2024,True,False,2.87,2,https://www.cian.ru/sale/flat/300575218/,False,414958.8358778626
33273400.0,19.0,ЮВАО,71.8,,11,21,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300165818/,False,463417.82729805016
30033280.0,19.0,СВАО,66.8,,14,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702782/,False,449600.0
53950000.0,8.0,ЗАО,72.6,,9,13,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/296278129/,False,743112.9476584023
44072325.0,25.0,ЮАО,69.1,25.6,9,16,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/293203965/,False,637804.9927641101
