source_row,price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link,review_reason
1861,49000000.0,2.0,ЦАО,52.7,,5.0,8.0,2022.0,0.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/296060032/,Полный дубликат: исключён
3308,24500000.0,6.0,ЗАО,36.0,,15.0,20.0,2021.0,0.0,0.0,3.0,1.0,https://www.cian.ru/sale/flat/299810301/,Полный дубликат: исключён
5175,77000000.0,17.0,ЗАО,84.5,45.0,15.0,34.0,2022.0,0.0,1.0,3.6,3.0,https://www.cian.ru/sale/flat/293542645/,Полный дубликат: исключён
585,88184211.0,10.0,ЦАО,111.7,,8.0,8.0,2019.0,1.0,0.0,3.3,2.0,https://www.cian.ru/sale/flat/274788987/,Противоречивые версии объявления: исключены до проверки
622,109213650.0,11.0,ЦАО,127.0,,3.0,7.0,2022.0,1.0,1.0,3.4,2.0,https://www.cian.ru/sale/flat/288177352/,Противоречивые версии объявления: исключены до проверки
2214,88184211.0,10.0,ЦАО,111.7,,8.0,8.0,2019.0,1.0,0.0,3.3,1.0,https://www.cian.ru/sale/flat/274788987/,Противоречивые версии объявления: исключены до проверки
4066,109213650.0,11.0,ЦАО,127.0,,3.0,7.0,2022.0,1.0,1.0,3.4,3.0,https://www.cian.ru/sale/flat/288177352/,Противоречивые версии объявления: исключены до проверки
3343,18000000.0,9.0,СЗАО,37.0,11.3,20.0,32.0,,,,,1.0,https://www.cian.ru/sale/flat/298830651/,Менее полная версия объявления: исключена
155,32923968.0,2025.0,СЗАО,70.4,35.7,19.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/289786214/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
212,30553120.0,2025.0,СЗАО,48.1,25.3,8.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300359171/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
271,34371540.0,2025.0,СЗАО,56.7,29.4,14.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/296524893/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
500,38945280.0,2025.0,СЗАО,70.4,35.7,22.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/272153501/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
613,31324200.0,2025.0,СЗАО,49.8,25.2,6.0,29.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/289786200/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
2105,26739900.0,2025.0,СЗАО,37.0,13.5,29.0,29.0,2023.0,1.0,0.0,3.15,1.0,https://www.cian.ru/sale/flat/289786190/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
4018,47412705.0,2025.0,СЗАО,83.1,50.3,20.0,29.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/295745237/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
5450,69108000.0,2025.0,СЗАО,97.5,63.0,28.0,29.0,2023.0,1.0,0.0,3.15,4.0,https://www.cian.ru/sale/flat/289786227/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
5463,226600000.0,2025.0,СЗАО,236.7,69.2,1.0,3.0,2023.0,1.0,1.0,3.1,4.0,https://www.cian.ru/sale/flat/300415728/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
5522,226600000.0,2025.0,СЗАО,237.9,68.7,1.0,3.0,2023.0,1.0,1.0,3.1,4.0,https://www.cian.ru/sale/flat/300415710/,Время до метро вне рабочего диапазона (0; 120] минут: значение заменено пропуском
936,17500000.0,8.0,СВАО,57.0,28.0,5.0,17.0,2022.0,0.0,0.0,23.0,2.0,https://www.cian.ru/sale/flat/297877542/,Высота потолков вне рабочего диапазона (0; 10] метров: значение заменено пропуском
2157,17150000.0,6.0,ЮАО,39.9,12.2,10.0,13.0,2024.0,1.0,0.0,30.0,1.0,https://www.cian.ru/sale/flat/300852067/,Высота потолков вне рабочего диапазона (0; 10] метров: значение заменено пропуском
3634,10500000.0,15.0,САО,37.5,18.5,1.0,14.0,,0.0,0.0,26.4,1.0,https://www.cian.ru/sale/flat/300301779/,Высота потолков вне рабочего диапазона (0; 10] метров: значение заменено пропуском
3120,5900000.0,12.0,ВАО,30.0,21.0,-1.0,7.0,,0.0,1.0,,1.0,https://www.cian.ru/sale/flat/297954187/,"Нетипичный этаж: сохранён, требует проверки"
2137,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/300575591/,Нет цены или общей площади: строка исключена
2439,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/291423377/,Нет цены или общей площади: строка исключена
2494,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/298493162/,Нет цены или общей площади: строка исключена
2500,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/300440329/,Нет цены или общей площади: строка исключена
2511,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/299915268/,Нет цены или общей площади: строка исключена
2535,17500000.0,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/299908539/,Нет цены или общей площади: строка исключена
2601,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/298049827/,Нет цены или общей площади: строка исключена
2661,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/300950761/,Нет цены или общей площади: строка исключена
2689,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/297819556/,Нет цены или общей площади: строка исключена
2754,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/300427861/,Нет цены или общей площади: строка исключена
2859,,,,,,,,,,,,1.0,https://www.cian.ru/sale/flat/296342825/,Нет цены или общей площади: строка исключена
3827,,,,,,,,,,,,3.0,https://www.cian.ru/sale/flat/300902280/,Нет цены или общей площади: строка исключена
3845,,,,,,,,,,,,3.0,https://www.cian.ru/sale/flat/299800472/,Нет цены или общей площади: строка исключена
4649,,,,,,,,,,,,3.0,https://www.cian.ru/sale/flat/300131882/,Нет цены или общей площади: строка исключена
4973,,,,,,,,,,,,3.0,https://www.cian.ru/sale/flat/293621576/,Нет цены или общей площади: строка исключена
5007,,,,,,,,,,,,3.0,https://www.cian.ru/sale/flat/299910519/,Нет цены или общей площади: строка исключена
5482,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/298333741/,Нет цены или общей площади: строка исключена
5603,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/300415723/,Нет цены или общей площади: строка исключена
5607,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/300760017/,Нет цены или общей площади: строка исключена
5639,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/300421268/,Нет цены или общей площади: строка исключена
5799,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/287282995/,Нет цены или общей площади: строка исключена
5923,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/292530345/,Нет цены или общей площади: строка исключена
5982,,,,,,,,,,,,4.0,https://www.cian.ru/sale/flat/294302746/,Нет цены или общей площади: строка исключена
131,29775786.0,5.0,,72.1,,2.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300624695/,Пропуск округа: заполнен меткой Неизвестно
236,31525164.0,4.0,,73.4,,3.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300624681/,Пропуск округа: заполнен меткой Неизвестно
1082,23800000.0,9.0,,56.5,38.9,6.0,8.0,2022.0,0.0,1.0,5.0,2.0,https://www.cian.ru/sale/flat/299847408/,Пропуск округа: заполнен меткой Неизвестно
1212,22900000.0,10.0,,43.1,,25.0,26.0,2022.0,0.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300439091/,Пропуск округа: заполнен меткой Неизвестно
1330,27999000.0,7.0,,43.0,,5.0,6.0,2016.0,0.0,1.0,3.1,2.0,https://www.cian.ru/sale/flat/300863009/,Пропуск округа: заполнен меткой Неизвестно
1524,11600000.0,6.0,,44.7,,3.0,5.0,1965.0,0.0,0.0,2.8,2.0,https://www.cian.ru/sale/flat/299727430/,Пропуск округа: заполнен меткой Неизвестно
1592,46900000.0,5.0,,98.6,,7.0,12.0,,0.0,1.0,4.5,2.0,https://www.cian.ru/sale/flat/293381153/,Пропуск округа: заполнен меткой Неизвестно
1756,50000000.0,8.0,,48.0,,2.0,6.0,1977.0,0.0,0.0,2.7,2.0,https://www.cian.ru/sale/flat/295356616/,Пропуск округа: заполнен меткой Неизвестно
1779,46900000.0,5.0,,98.6,,7.0,10.0,2020.0,0.0,1.0,3.1,2.0,https://www.cian.ru/sale/flat/288718489/,Пропуск округа: заполнен меткой Неизвестно
1795,16800000.0,16.0,,52.0,,9.0,17.0,2003.0,0.0,0.0,2.74,2.0,https://www.cian.ru/sale/flat/300893237/,Пропуск округа: заполнен меткой Неизвестно
1849,16490000.0,4.0,,39.0,,6.0,9.0,1962.0,0.0,0.0,,2.0,https://www.cian.ru/sale/flat/300796455/,Пропуск округа: заполнен меткой Неизвестно
1970,40000000.0,8.0,,67.0,35.0,2.0,14.0,1939.0,0.0,0.0,3.2,2.0,https://www.cian.ru/sale/flat/296439826/,Пропуск округа: заполнен меткой Неизвестно
2018,24200000.0,8.0,,56.0,32.0,2.0,7.0,1959.0,0.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299726165/,Пропуск округа: заполнен меткой Неизвестно
2046,10900000.0,11.0,,25.6,,22.0,33.0,2023.0,1.0,0.0,,1.0,https://www.cian.ru/sale/flat/299809638/,Пропуск округа: заполнен меткой Неизвестно
2072,19267900.0,9.0,,48.7,,11.0,27.0,2022.0,1.0,0.0,,1.0,https://www.cian.ru/sale/flat/294033942/,Пропуск округа: заполнен меткой Неизвестно
2104,11800000.0,15.0,,21.1,12.7,11.0,27.0,2023.0,1.0,0.0,,1.0,https://www.cian.ru/sale/flat/299965869/,Пропуск округа: заполнен меткой Неизвестно
2142,17667500.0,27.0,,37.0,10.7,3.0,22.0,2023.0,1.0,0.0,2.83,1.0,https://www.cian.ru/sale/flat/300918195/,Пропуск округа: заполнен меткой Неизвестно
2217,10490000.0,18.0,,32.0,9.1,13.0,25.0,2023.0,1.0,0.0,,1.0,https://www.cian.ru/sale/flat/299782670/,Пропуск округа: заполнен меткой Неизвестно
2266,11152480.0,16.0,,34.4,13.8,12.0,12.0,2023.0,1.0,0.0,2.84,1.0,https://www.cian.ru/sale/flat/297032828/,Пропуск округа: заполнен меткой Неизвестно
2310,16697409.0,9.0,,41.06,20.3,8.0,30.0,2023.0,1.0,0.0,3.3,1.0,https://www.cian.ru/sale/flat/297984305/,Пропуск округа: заполнен меткой Неизвестно
2339,21106809.0,2.0,,42.6,,14.0,25.0,2024.0,1.0,0.0,3.65,1.0,https://www.cian.ru/sale/flat/296330624/,Пропуск округа: заполнен меткой Неизвестно
2349,15502215.0,26.0,,41.4,15.0,10.0,12.0,2024.0,1.0,0.0,2.97,1.0,https://www.cian.ru/sale/flat/298310729/,Пропуск округа: заполнен меткой Неизвестно
2352,22554105.0,7.0,,43.6,15.3,14.0,40.0,2023.0,1.0,0.0,3.15,1.0,https://www.cian.ru/sale/flat/293203928/,Пропуск округа: заполнен меткой Неизвестно
2404,10962280.0,16.0,,34.3,13.8,11.0,14.0,2023.0,1.0,0.0,2.84,1.0,https://www.cian.ru/sale/flat/297033551/,Пропуск округа: заполнен меткой Неизвестно
2433,14527275.0,10.0,,37.5,11.5,30.0,33.0,2023.0,1.0,0.0,2.67,1.0,https://www.cian.ru/sale/flat/300979757/,Пропуск округа: заполнен меткой Неизвестно
2478,23000000.0,17.0,,49.0,15.7,4.0,36.0,2018.0,0.0,0.0,3.2,1.0,https://www.cian.ru/sale/flat/300836271/,Пропуск округа: заполнен меткой Неизвестно
2574,13200000.0,11.0,,30.7,,5.0,5.0,1959.0,0.0,0.0,,1.0,https://www.cian.ru/sale/flat/299554905/,Пропуск округа: заполнен меткой Неизвестно
2691,7890000.0,7.0,,32.5,18.8,9.0,9.0,,0.0,0.0,2.5,1.0,https://www.cian.ru/sale/flat/295787702/,Пропуск округа: заполнен меткой Неизвестно
2839,12950000.0,15.0,,41.0,20.0,14.0,23.0,2022.0,0.0,0.0,2.75,1.0,https://www.cian.ru/sale/flat/300565210/,Пропуск округа: заполнен меткой Неизвестно
2922,12290000.0,9.0,,31.6,21.5,6.0,9.0,1964.0,0.0,0.0,2.7,1.0,https://www.cian.ru/sale/flat/300430616/,Пропуск округа: заполнен меткой Неизвестно
2929,16400000.0,18.0,,41.4,21.0,17.0,33.0,2023.0,0.0,0.0,3.0,1.0,https://www.cian.ru/sale/flat/299415345/,Пропуск округа: заполнен меткой Неизвестно
3033,22500000.0,13.0,,37.0,,8.0,16.0,2022.0,0.0,0.0,3.0,1.0,https://www.cian.ru/sale/flat/300160132/,Пропуск округа: заполнен меткой Неизвестно
3040,29780000.0,2.0,,42.1,13.5,9.0,21.0,,0.0,1.0,,1.0,https://www.cian.ru/sale/flat/299726123/,Пропуск округа: заполнен меткой Неизвестно
3046,8000000.0,16.0,,32.6,12.0,2.0,18.0,,0.0,1.0,,1.0,https://www.cian.ru/sale/flat/296406224/,Пропуск округа: заполнен меткой Неизвестно
3109,8100000.0,12.0,,19.0,,7.0,12.0,1981.0,0.0,0.0,2.7,1.0,https://www.cian.ru/sale/flat/300141878/,Пропуск округа: заполнен меткой Неизвестно
3116,60000000.0,6.0,,60.0,,12.0,13.0,,0.0,1.0,,1.0,https://www.cian.ru/sale/flat/293370044/,Пропуск округа: заполнен меткой Неизвестно
3158,7600000.0,3.0,,33.0,19.0,2.0,9.0,1976.0,0.0,0.0,2.64,1.0,https://www.cian.ru/sale/flat/300708101/,Пропуск округа: заполнен меткой Неизвестно
3166,8200000.0,5.0,,39.2,21.0,1.0,14.0,1990.0,0.0,0.0,2.64,1.0,https://www.cian.ru/sale/flat/297030030/,Пропуск округа: заполнен меткой Неизвестно
3201,6800000.0,19.0,,30.0,14.0,6.0,6.0,2019.0,0.0,1.0,4.0,1.0,https://www.cian.ru/sale/flat/292447340/,Пропуск округа: заполнен меткой Неизвестно
3252,11499000.0,5.0,,31.8,21.4,8.0,9.0,1964.0,0.0,0.0,2.5,1.0,https://www.cian.ru/sale/flat/297853204/,Пропуск округа: заполнен меткой Неизвестно
3488,7150000.0,13.0,,34.7,19.5,3.0,16.0,,0.0,1.0,,1.0,https://www.cian.ru/sale/flat/297486057/,Пропуск округа: заполнен меткой Неизвестно
3510,14600000.0,4.0,,38.4,18.4,12.0,22.0,,0.0,0.0,,1.0,https://www.cian.ru/sale/flat/300050876/,Пропуск округа: заполнен меткой Неизвестно
3554,8900000.0,12.0,,32.8,18.9,5.0,9.0,1971.0,0.0,0.0,2.64,1.0,https://www.cian.ru/sale/flat/300297049/,Пропуск округа: заполнен меткой Неизвестно
3556,20300000.0,4.0,,39.0,13.5,9.0,33.0,,0.0,0.0,3.0,1.0,https://www.cian.ru/sale/flat/300011239/,Пропуск округа: заполнен меткой Неизвестно
3611,9800000.0,18.0,,34.8,19.9,5.0,12.0,1965.0,0.0,0.0,2.5,1.0,https://www.cian.ru/sale/flat/297130317/,Пропуск округа: заполнен меткой Неизвестно
3685,38197066.0,15.0,,93.9,,2.0,24.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/300953301/,Пропуск округа: заполнен меткой Неизвестно
3724,25169281.0,30.0,,71.7,34.7,4.0,33.0,2024.0,1.0,0.0,2.62,3.0,https://www.cian.ru/sale/flat/300762622/,Пропуск округа: заполнен меткой Неизвестно
3736,31200000.0,12.0,,76.2,43.0,3.0,29.0,2024.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/299850452/,Пропуск округа: заполнен меткой Неизвестно
3746,47992104.0,19.0,,99.5,,2.0,6.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/300712712/,Пропуск округа: заполнен меткой Неизвестно
3767,44000000.0,8.0,,74.0,,19.0,41.0,2022.0,1.0,0.0,,3.0,https://www.cian.ru/sale/flat/300962201/,Пропуск округа: заполнен меткой Неизвестно
3782,55631270.0,27.0,,109.9,80.0,6.0,15.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/293204327/,Пропуск округа: заполнен меткой Неизвестно
3792,37691396.0,23.0,,85.1,41.6,6.0,11.0,2024.0,1.0,0.0,3.1,3.0,https://www.cian.ru/sale/flat/299226742/,Пропуск округа: заполнен меткой Неизвестно
3833,29775154.0,2.0,,80.79,61.4,10.0,20.0,2024.0,1.0,0.0,,3.0,https://www.cian.ru/sale/flat/297150985/,Пропуск округа: заполнен меткой Неизвестно
3842,48276199.0,4.0,,101.1,,2.0,6.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/300712720/,Пропуск округа: заполнен меткой Неизвестно
3924,106491170.0,12.0,,127.9,61.8,2.0,12.0,2023.0,1.0,0.0,3.65,3.0,https://www.cian.ru/sale/flat/298028296/,Пропуск округа: заполнен меткой Неизвестно
3999,40216907.0,5.0,,97.0,,2.0,24.0,2023.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/300712741/,Пропуск округа: заполнен меткой Неизвестно
4126,37697265.0,25.0,,81.3,50.3,9.0,16.0,2022.0,1.0,0.0,3.15,3.0,https://www.cian.ru/sale/flat/299971500/,Пропуск округа: заполнен меткой Неизвестно
4141,114990000.0,14.0,,118.7,95.0,3.0,8.0,2023.0,1.0,0.0,,3.0,https://www.cian.ru/sale/flat/284596246/,Пропуск округа: заполнен меткой Неизвестно
4614,30900000.0,10.0,,62.3,28.5,4.0,15.0,2022.0,0.0,0.0,3.1,3.0,https://www.cian.ru/sale/flat/295772093/,Пропуск округа: заполнен меткой Неизвестно
4700,24800000.0,15.0,,75.0,46.0,14.0,16.0,1982.0,0.0,0.0,,3.0,https://www.cian.ru/sale/flat/299857285/,Пропуск округа: заполнен меткой Неизвестно
4813,17500000.0,17.0,,60.0,,4.0,9.0,1972.0,0.0,0.0,2.64,3.0,https://www.cian.ru/sale/flat/299839415/,Пропуск округа: заполнен меткой Неизвестно
4981,78900000.0,11.0,,111.0,46.4,11.0,12.0,2013.0,0.0,0.0,3.1,3.0,https://www.cian.ru/sale/flat/291962442/,Пропуск округа: заполнен меткой Неизвестно
5257,43900000.0,7.0,,86.6,,12.0,18.0,2018.0,0.0,0.0,3.1,3.0,https://www.cian.ru/sale/flat/298519143/,Пропуск округа: заполнен меткой Неизвестно
5276,103000000.0,7.0,,115.0,64.0,2.0,21.0,2023.0,0.0,0.0,,3.0,https://www.cian.ru/sale/flat/299644232/,Пропуск округа: заполнен меткой Неизвестно
5734,41500000.0,12.0,,120.0,67.0,11.0,44.0,2011.0,0.0,0.0,3.1,4.0,https://www.cian.ru/sale/flat/298089913/,Пропуск округа: заполнен меткой Неизвестно
5994,43000000.0,14.0,,87.0,70.0,34.0,47.0,,0.0,0.0,2.8,4.0,https://www.cian.ru/sale/flat/292699755/,Пропуск округа: заполнен меткой Неизвестно
6073,32750000.0,12.0,,83.5,52.0,3.0,14.0,1970.0,0.0,0.0,2.7,4.0,https://www.cian.ru/sale/flat/297088490/,Пропуск округа: заполнен меткой Неизвестно
6521,37200000.0,13.0,,105.0,78.0,2.0,5.0,1934.0,0.0,0.0,3.5,4.0,https://www.cian.ru/sale/flat/284682898/,Пропуск округа: заполнен меткой Неизвестно
