price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
31633073.0,24.0,SAR,64.2,32.4,11.0,16.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293204033/
29293000.0,9.0,NEAR,78.1,,9.0,27.0,2022.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/294033524/
30349669.0,5.0,SAR,72.4,33.6,3.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300712697/
31845511.0,19.0,SAR,69.2,,2.0,12.0,2024.0,1.0,0.0,2.97,2.0,https://www.cian.ru/sale/flat/300228448/
38810000.0,27.0,WAR,66.9,24.8,9.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262105/
85004500.0,8.0,CAR,104.3,,6.0,7.0,2016.0,1.0,1.0,3.25,2.0,https://www.cian.ru/sale/flat/263389572/
82644000.0,3.0,CAR,85.2,,52.0,66.0,2020.0,1.0,1.0,3.9,2.0,https://www.cian.ru/sale/flat/296913134/
34100453.0,20.0,SAR,66.0,29.9,8.0,46.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299093558/
27447668.0,5.0,SAR,65.55,34.4,26.0,26.0,2023.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/290283240/
21230289.0,5.0,WAR,59.3,29.3,23.0,23.0,2023.0,1.0,0.0,2.73,2.0,https://www.cian.ru/sale/flat/298525427/
32747909.0,5.0,WAR,61.15,,6.0,57.0,2024.0,1.0,0.0,2.9,2.0,https://www.cian.ru/sale/flat/272591263/
27800000.0,18.0,WAR,46.9,,32.0,41.0,2024.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/298664674/
29759589.0,25.0,SAR,64.2,32.9,7.0,16.0,2022.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293203842/
50480000.0,,WAR,70.3,25.2,12.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262044/
370000000.0,1.0,CAR,128.7,,5.0,15.0,2015.0,0.0,1.0,,2.0,https://www.cian.ru/sale/flat/296102099/
146715789.0,10.0,CAR,121.2,,8.0,8.0,2019.0,1.0,0.0,3.3,2.0,https://www.cian.ru/sale/flat/284404561/
30115475.0,25.0,SAR,65.8,32.1,14.0,16.0,2022.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293203827/
28375022.0,5.0,SAR,69.7,,2.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300783117/
30585500.0,11.0,SWAR,67.0,,32.0,34.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300713408/
41240000.0,,WAR,68.5,24.6,9.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262053/
15177043.0,4.0,EAR,36.33,18.4,6.0,29.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298055156/
40331596.0,27.0,SAR,71.2,43.8,15.0,15.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/298084417/
21743843.0,17.0,SEAR,52.4,,10.0,29.0,2024.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/300575218/
33273400.0,19.0,SEAR,71.8,,11.0,21.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300165818/
30033280.0,19.0,NEAR,66.8,,14.0,22.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299702782/
53950000.0,8.0,WAR,72.6,,9.0,13.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/296278129/
44072325.0,25.0,SAR,69.1,25.6,9.0,16.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293203965/
39655200.0,19.0,NEAR,80.6,60.5,27.0,32.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298828249/
27000000.0,5.0,NWAR,53.9,,23.0,23.0,2023.0,1.0,0.0,3.23,2.0,https://www.cian.ru/sale/flat/298988781/
29476161.0,10.0,WAR,44.7,15.7,24.0,28.0,2022.0,1.0,0.0,3.12,2.0,https://www.cian.ru/sale/flat/298334053/
35957040.0,5.0,WAR,62.95,,37.0,57.0,2024.0,1.0,0.0,2.9,2.0,https://www.cian.ru/sale/flat/295099522/
23700000.0,12.0,NEAR,55.5,25.9,3.0,48.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/289296396/
40420000.0,28.0,WAR,69.2,26.3,13.0,14.0,2021.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/296277987/
16200000.0,11.0,WAR,42.8,14.8,30.0,33.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/299808868/
34068000.0,12.0,NWAR,66.8,,10.0,21.0,2023.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/299168071/
30377215.0,17.0,NWAR,61.3,37.8,16.0,43.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/297642441/
31535521.0,4.0,NEAR,75.8,,14.0,15.0,2021.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/292035501/
11500000.0,5.0,NWAR,46.3,,28.0,33.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/299430589/
29760000.0,20.0,NWAR,49.0,,26.0,29.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/289479415/
26650000.0,19.0,NWAR,49.4,,3.0,29.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/289557564/
41741000.0,10.0,NEAR,67.0,50.3,3.0,34.0,2022.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300648031/
